date_time,input_flow,observed_flow,reach_length
08/08/2019 19:00,52.169,43.311833,10780
08/08/2019 20:00,52.977,43.173166,10780
08/08/2019 21:00,52.6,44.854166,10780
08/08/2019 22:00,53.7,49.258833,10780
08/08/2019 23:00,39.564,49.478333,10780
09/08/2019 00:00,26.906,49.321166,10780
09/08/2019 01:00,24.515,46.498333,10780
09/08/2019 02:00,25.513,39.5965,10780
09/08/2019 03:00,25.71,32.4035,10780
09/08/2019 04:00,24.21,31.3125,10780
09/08/2019 05:00,36.173,25.2395,10780
09/08/2019 06:00,39.99,25.3755,10780
09/08/2019 07:00,48.831,26.059833,10780
09/08/2019 08:00,50.808,31.42,10780
09/08/2019 09:00,50.636,37.6955,10780
09/08/2019 10:00,59.582,40.899333,10780
09/08/2019 11:00,61.401,46.533834,10780
09/08/2019 12:00,65.301,48.072,10780
09/08/2019 13:00,60.224,52.903833,10780
09/08/2019 14:00,58.549,56.769667,10780
09/08/2019 15:00,59.656,59.530833,10780
09/08/2019 16:00,59.037,53.637333,10780
09/08/2019 17:00,49.019,55.889833,10780
09/08/2019 18:00,47.388,58.665166,10780
09/08/2019 19:00,36.995,51.687,10780
09/08/2019 20:00,34.865,51.452,10780
09/08/2019 21:00,33.13,43.794667,10780
09/08/2019 22:00,24.643,41.087667,10780
09/08/2019 23:00,20.787,37.177334,10780
10/08/2019 00:00,8.732,32.625167,10780
10/08/2019 01:00,5.814,28.872833,10780
10/08/2019 02:00,5.98,26.060999,10780
10/08/2019 03:00,6.019,15.3435,10780
10/08/2019 04:00,6.069,15.411667,10780
10/08/2019 05:00,6.14,26.298333,10780
10/08/2019 06:00,6.22,27.067833,10780
10/08/2019 07:00,6.264,17.201333,10780
10/08/2019 08:00,6.362,6.107333,10780
10/08/2019 09:00,6.406,6.142,10780
10/08/2019 10:00,28.453,6.176667,10780
10/08/2019 11:00,35.042,18.818666,10780
10/08/2019 12:00,33.585,25.773834,10780
10/08/2019 13:00,30.026,26.8845,10780
10/08/2019 14:00,30.315,24.8355,10780
10/08/2019 15:00,32.071,26.060833,10780
10/08/2019 16:00,32.942,26.251999,10780
10/08/2019 17:00,33.6,25.469833,10780
10/08/2019 18:00,34.101,24.849667,10780
10/08/2019 19:00,55.48,28.093667,10780
10/08/2019 20:00,46.91,39.166333,10780
10/08/2019 21:00,47.482,49.081,10780
10/08/2019 22:00,47.961,55.893,10780
10/08/2019 23:00,23.531,55.663333,10780
11/08/2019 00:00,18.562,55.745666,10780
11/08/2019 01:00,19.288,54.287833,10780
